marca,modelo,año,kilometraje_km,potencia_cv,combustible,transmision,etiqueta_ambiental,tipo_venta,precio_eur,provincia,url,antiguedad,km_por_año,fecha_scraping
Volvo,V90 2.0 B4 D Momentum Pro Auto,2021,139000,197,Híbrido,Manual,ECO,Usado,24990.0,Murcia,https://www.coches.net/volvo-v90-20-b4-d-momentum-pro-auto-5p-electrico-hibrido-2021-en-murcia-62152757-covo.aspx,5,27800,2026-05-08
Seat,Ateca 2.0 TDI DSG Style XL,2023,139000,150,Diésel,Automática,C,Usado,19990.0,Murcia,https://www.coches.net/seat-ateca-20-tdi-110kw-150cv-dsg-style-xl-5p-diesel-2024-en-murcia-62152883-covo.aspx,3,46333,2026-05-08
Jeep,Renegade Night Eagle eHybrid 1.5 96kW130CV ATX,2022,53797,130,Híbrido,Manual,ECO,Usado,19990.0,Alicante,https://www.coches.net/jeep-renegade-night-eagle-ehybrid-15-96kw130cv-atx-5p-electrico-hibrido-2022-en-alicante-62161625-covo.aspx,4,13449,2026-05-08
Ford,Focus 1.0 Ecoboost AutoSS Pow.Trend,2016,164000,125,Gasolina,Manual,C,Usado,8470.0,Madrid,https://www.coches.net/ford-focus-10-ecoboost-autoss-125cv-powtrend-5p-gasolina-2015-en-madrid-62164302-covo.aspx,10,16400,2026-05-08
Volkswagen,Polo Life 1.0 TSI DSG,2022,59000,95,Gasolina,Automática,C,Usado,17990.0,Murcia,https://www.coches.net/volkswagen-polo-life-10-tsi-70kw-95cv-dsg-5p-gasolina-2023-en-murcia-62179859-covo.aspx,4,14750,2026-05-08
Volkswagen,Polo Life 1.0 TSI DSG,2022,49000,95,Gasolina,Automática,C,Usado,17990.0,Murcia,https://www.coches.net/volkswagen-polo-life-10-tsi-70kw-95cv-dsg-5p-gasolina-2023-en-murcia-62179860-covo.aspx,4,12250,2026-05-08
Bmw,Serie 3 M3 Competition M xDrive,2023,37187,510,Gasolina,Manual,C,Usado,84990.0,Las Palmas,https://www.coches.net/bmw-serie-3-m3-competition-m-xdrive-4p-gasolina-2022-en-las-palmas-62193501-covo.aspx,3,12396,2026-05-08
Seat,Ibiza 1.0 MPI Style XL,2023,60000,80,Gasolina,Manual,C,Usado,12990.0,Castellón,https://www.coches.net/seat-ibiza-10-mpi-59kw-80cv-style-xl-5p-gasolina-2023-en-castellon-62200983-covo.aspx,3,20000,2026-05-08
Citroen,C3 Aircross PureTech LIVE,2019,109000,82,Gasolina,Manual,C,Usado,9290.0,Sta. C. Tenerife,https://www.coches.net/citroen-c3-aircross-puretech-60kw-82cv-live-5p-gasolina-2019-en-sta-c-tenerife-62219874-covo.aspx,7,15571,2026-05-08
Citroen,C3 Aircross PureTech LIVE,2019,105000,82,Gasolina,Manual,C,Usado,9290.0,Sta. C. Tenerife,https://www.coches.net/citroen-c3-aircross-puretech-60kw-82cv-live-5p-gasolina-2019-en-sta-c-tenerife-62219876-covo.aspx,7,15000,2026-05-08
