marca,modelo,año,kilometraje_km,combustible,potencia_cv,transmision,precio_eur,tipo_venta,etiqueta_ambiental
Dacia,Dacia Lodgy,2022,35651.0,Diésel,115.0,Manual,15619,Usado,C
Citroën,Citroën C4,2015,137583.0,Diésel,92.0,Manual,8950,Usado,C
Renault,Renault Clio,2018,51680.0,Gasolina,90.0,Manual,12450,Usado,C
Mercedes,Mercedes Clase GLE,2017,53798.0,Diésel,204.0,Automática,46950,Usado,C
Mazda,Mazda CX-30,2022,95012.0,Híbrido,186.0,Automática,20867,Usado,ECO
Peugeot,Peugeot 308,2016,120867.0,Diésel,120.0,Manual,12390,Usado,C
Nissan,Nissan Micra,2005,65302.0,Gasolina,65.0,Manual,4900,Usado,B
Mercedes,Mercedes Clase A,2013,111000.0,Gasolina,122.0,Manual,14350,Usado,C
Kia,KIA Carens,2018,52511.0,Gasolina,135.0,Manual,16450,Usado,C
Volvo,Volvo V40,2017,115349.0,Diésel,120.0,Manual,14300,Usado,C
Mazda,Mazda CX-3,2022,53508.0,Gasolina,121.0,Manual,20250,Usado,C
Peugeot,Peugeot 208,2016,13286.0,Diésel,100.0,Manual,12300,Usado,C
Citroën,Citroën C4 Spacetourer,2019,84329.0,Diésel,130.0,Automática,19500,Usado,C
Citroën,Citroën C3,2006,93530.0,Gasolina,75.0,Manual,3900,Usado,C
Jeep,Jeep Compass,2019,71764.0,Diésel,120.0,Manual,18900,Usado,C
Audi,Audi A3,2021,35631.0,Gasolina,150.0,Manual,27800,Usado,C
Peugeot,Peugeot 3008,2018,120008.0,Diésel,130.0,Manual,17400,Usado,C
Ford,Ford Transit Custom,2022,96420.0,Híbrido,130.0,Manual,21900,Usado,ECO
Renault,Renault Clio,2016,143674.0,Gasolina,90.0,Manual,11900,Usado,C
Ford,Ford Fiesta,2021,77472.0,Gasolina,100.0,Manual,12990,Usado,C
Peugeot,Peugeot 508,2022,116433.0,Diésel,130.0,Automática,19250,Usado,C
Ford,Ford Puma,2023,13153.0,Híbrido,125.0,Manual,20700,Usado,ECO
Toyota,Toyota Auris,2016,56096.0,Híbrido,136.0,Automática,15400,Usado,ECO
Fiat,Fiat 500,2008,124036.0,Gasolina,100.0,Manual,7350,Usado,C
Mazda,Mazda CX-5,2019,90539.0,Gasolina,165.0,Manual,20450,Usado,C
Peugeot,Peugeot 508,2013,211894.0,Diésel,163.0,Manual,7750,Usado,B
